model,holdout_cid,repeat,mae,client_rc,server_log,client_log
mlp,0,1,10.72813422657619,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid0_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid0_rep1_client.log
mlp,1,1,8.118707226168725,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid1_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid1_rep1_client.log
mlp,2,1,12.354302207628885,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid2_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid2_rep1_client.log
mlp,3,1,9.894049138608187,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid3_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid3_rep1_client.log
mlp,4,1,10.193690507308297,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid4_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid4_rep1_client.log
mlp,5,1,12.120152923583984,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid5_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid5_rep1_client.log
mlp,6,1,10.542207343556056,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid6_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid6_rep1_client.log
mlp,7,1,13.309197864393248,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid7_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid7_rep1_client.log
mlp,8,1,7.912211558857902,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid8_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.0_mlp/trial_0031/mlp_cid8_rep1_client.log
mlp,ALL,,10.574739221853497,,,
