model,holdout_cid,repeat,mae,client_rc,server_log,client_log
mlp,0,1,10.704493050263308,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid0_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid0_rep1_client.log
mlp,1,1,8.124376809725197,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid1_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid1_rep1_client.log
mlp,2,1,12.232947746912638,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid2_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid2_rep1_client.log
mlp,3,1,9.901108849566915,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid3_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid3_rep1_client.log
mlp,4,1,10.327720061592434,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid4_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid4_rep1_client.log
mlp,5,1,12.128260375976563,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid5_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid5_rep1_client.log
mlp,6,1,10.557734943995966,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid6_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid6_rep1_client.log
mlp,7,1,13.42340845261177,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid7_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid7_rep1_client.log
mlp,8,1,8.269641719880651,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid8_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/Mlp_prepro1.1_mlp/trial_0029/mlp_cid8_rep1_client.log
mlp,ALL,,10.629965778947271,,,
