model,holdout_cid,repeat,mae,client_rc,server_log,client_log
mlp,0,1,,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid0_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid0_rep1_client.log
mlp,1,1,8.686806545462659,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid1_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid1_rep1_client.log
mlp,2,1,12.24368941783905,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid2_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid2_rep1_client.log
mlp,3,1,9.780360545282779,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid3_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid3_rep1_client.log
mlp,4,1,9.834951732469642,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid4_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid4_rep1_client.log
mlp,5,1,12.264968811035157,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid5_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid5_rep1_client.log
mlp,6,1,9.643088545754692,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid6_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid6_rep1_client.log
mlp,7,1,13.482755786311017,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid7_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid7_rep1_client.log
mlp,8,1,8.22611355390705,0,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid8_rep1_server.log,/Users/giovanniscirocco/PycharmProjects/CSI-prog4-esperimenti/runs/MLP_prepro1_1_mlp/trial_0034/mlp_cid8_rep1_client.log
mlp,ALL,,10.520341867257756,,,
