model,holdout_cid,repeat,mae,client_rc,server_log,client_log
nnmodel,0,1,11.881300881644275,0,train_logs/nnmodel_cid0_rep1_server.log,train_logs/nnmodel_cid0_rep1_client.log
nnmodel,1,1,8.677548316217237,0,train_logs/nnmodel_cid1_rep1_server.log,train_logs/nnmodel_cid1_rep1_client.log
nnmodel,2,1,12.581190784772238,0,train_logs/nnmodel_cid2_rep1_server.log,train_logs/nnmodel_cid2_rep1_client.log
nnmodel,3,1,9.742912723707116,0,train_logs/nnmodel_cid3_rep1_server.log,train_logs/nnmodel_cid3_rep1_client.log
nnmodel,4,1,10.452472064806068,0,train_logs/nnmodel_cid4_rep1_server.log,train_logs/nnmodel_cid4_rep1_client.log
nnmodel,5,1,12.551047393798829,0,train_logs/nnmodel_cid5_rep1_server.log,train_logs/nnmodel_cid5_rep1_client.log
nnmodel,6,1,12.50989136740426,0,train_logs/nnmodel_cid6_rep1_server.log,train_logs/nnmodel_cid6_rep1_client.log
nnmodel,7,1,14.858910915625357,0,train_logs/nnmodel_cid7_rep1_server.log,train_logs/nnmodel_cid7_rep1_client.log
nnmodel,8,1,8.132482653758565,0,train_logs/nnmodel_cid8_rep1_server.log,train_logs/nnmodel_cid8_rep1_client.log
nnmodel,ALL,,11.265306344637105,,,
