model,holdout_cid,repeat,mae,client_rc,server_log,client_log
randomforest,0,1,11.197679127725856,0,train_logs/randomforest_cid0_rep1_server.log,train_logs/randomforest_cid0_rep1_client.log
randomforest,1,1,8.308044546850995,0,train_logs/randomforest_cid1_rep1_server.log,train_logs/randomforest_cid1_rep1_client.log
randomforest,2,1,12.44804340277778,0,train_logs/randomforest_cid2_rep1_server.log,train_logs/randomforest_cid2_rep1_client.log
randomforest,3,1,10.715078260869562,0,train_logs/randomforest_cid3_rep1_server.log,train_logs/randomforest_cid3_rep1_client.log
randomforest,4,1,10.319495255348514,0,train_logs/randomforest_cid4_rep1_server.log,train_logs/randomforest_cid4_rep1_client.log
randomforest,5,1,12.49832,0,train_logs/randomforest_cid5_rep1_server.log,train_logs/randomforest_cid5_rep1_client.log
randomforest,6,1,9.462524922118382,0,train_logs/randomforest_cid6_rep1_server.log,train_logs/randomforest_cid6_rep1_client.log
randomforest,7,1,13.645501158614296,0,train_logs/randomforest_cid7_rep1_server.log,train_logs/randomforest_cid7_rep1_client.log
randomforest,8,1,9.05257786885246,0,train_logs/randomforest_cid8_rep1_server.log,train_logs/randomforest_cid8_rep1_client.log
randomforest,ALL,,10.84969606035087,,,
