day,label,hr_maxHeartRate,hr_minHeartRate,hr_restingHeartRate,hr_lastSevenDaysAvgRestingHeartRate,resp_lowestRespirationValue,resp_highestRespirationValue,resp_avgWakingRespirationValue,resp_avgSleepRespirationValue,resp_avgTomorrowSleepRespirationValue,str_maxStressLevel,str_avgStressLevel,sleep_sleepTimeSeconds,sleep_napTimeSeconds,sleep_unmeasurableSleepSeconds,sleep_deepSleepSeconds,sleep_lightSleepSeconds,sleep_remSleepSeconds,sleep_awakeSleepSeconds,act_totalCalories,act_activeKilocalories,act_distance,act_activeTime,sleep_averageRespirationValue,sleep_lowestRespirationValue,sleep_highestRespirationValue,sleep_awakeCount,sleep_avgSleepStress,sleep_avgHeartRate,client_id,user_id,source_file,ts__hr_time_series__len,ts__hr_time_series__mean,ts__hr_time_series__std,ts__hr_time_series__min,ts__hr_time_series__max,ts__hr_time_series__range,ts__hr_time_series__median,ts__hr_time_series__mad,ts__hr_time_series__energy,ts__hr_time_series__q10,ts__hr_time_series__q25,ts__hr_time_series__q50,ts__hr_time_series__q75,ts__hr_time_series__q90,ts__hr_time_series__slope,ts__hr_time_series__diff_mean,ts__hr_time_series__diff_std,ts__hr_time_series__diff_abs_mean,ts__resp_time_series__len,ts__resp_time_series__mean,ts__resp_time_series__std,ts__resp_time_series__min,ts__resp_time_series__max,ts__resp_time_series__range,ts__resp_time_series__median,ts__resp_time_series__mad,ts__resp_time_series__energy,ts__resp_time_series__q10,ts__resp_time_series__q25,ts__resp_time_series__q50,ts__resp_time_series__q75,ts__resp_time_series__q90,ts__resp_time_series__slope,ts__resp_time_series__diff_mean,ts__resp_time_series__diff_std,ts__resp_time_series__diff_abs_mean,ts__stress_time_series__len,ts__stress_time_series__mean,ts__stress_time_series__std,ts__stress_time_series__min,ts__stress_time_series__max,ts__stress_time_series__range,ts__stress_time_series__median,ts__stress_time_series__mad,ts__stress_time_series__energy,ts__stress_time_series__q10,ts__stress_time_series__q25,ts__stress_time_series__q50,ts__stress_time_series__q75,ts__stress_time_series__q90,ts__stress_time_series__slope,ts__stress_time_series__diff_mean,ts__stress_time_series__diff_std,ts__stress_time_series__diff_abs_mean
6,79,140.0,62.0,,,7.0,,14.0,,13.0,87.0,38.0,,,,,,,,2949.0,768.0,5179.0,,13.0,10.0,20.0,0.0,8.0,61.0,group4,4,dataset_user_4_train.csv,,,16.620958140033203,62.0,140.0,78.0,,9.0,,,,,,118.0,,0.03619909502262444,7.831283826270186,,,14.43,2.526875541058562,9.0,20.0,,15.0,2.0,214.61,11.0,13.0,15.0,16.0,18.0,,,,,,37.04,17.105507884889008,8.0,74.0,66.0,36.5,13.5,1664.56,14.0,23.0,36.5,49.0,60.1,,,12.620893936845277,
6,85,117.0,,,,,20.0,14.0,,14.0,,,,,,,,,,1964.0,145.0,3031.0,,14.0,10.0,19.0,,13.0,66.0,group4,40,dataset_user_40_train.csv,,,11.99071906726198,,117.0,41.0,88.0,7.5,8688.46875,,,88.0,104.0,109.7,,,,,,14.23076923076923,,,20.0,10.0,14.0,2.0,209.10256410256412,11.0,12.0,14.0,16.0,17.200000000000003,,,,,,,,,,,,10.5,2754.2,,,,63.25,67.0,,,8.652413878680205,6.631578947368421
7,72,183.0,55.0,57.0,,7.0,24.0,14.0,13.0,13.0,95.0,23.0,22004.0,0.0,0.0,4440.0,11580.0,6000.0,60.0,3411.0,1230.0,12525.0,,,,,,,,group4,4,dataset_user_4_train.csv,720.0,79.16666666666667,20.724381776062707,55.0,183.0,128.0,76.0,11.0,6696.861111111111,58.0,64.0,76.0,86.0,102.0,0.06430352553406418,-0.012517385257301807,7.006343970463596,4.410292072322671,534.0,14.00561797752809,2.466624839988814,8.0,,,14.0,2.0,202.24157303370785,11.0,12.0,14.0,16.0,18.0,0.002373044110250309,0.0075046904315197,,,325.0,23.046153846153846,19.096218529598406,1.0,88.0,87.0,22.0,15.0,895.7907692307692,2.0,6.0,22.0,35.0,49.0,0.16068271197105552,0.040123456790123455,10.561764021413168,6.898148148148148
7,93,129.0,59.0,62.0,71.0,6.0,21.0,15.0,14.0,14.0,98.0,39.0,32700.0,0.0,0.0,5040.0,19320.0,8340.0,,2622.0,803.0,9233.0,,,,,,,,group4,40,dataset_user_40_train.csv,720.0,83.8861111111111,16.608425786291892,59.0,129.0,70.0,83.0,13.0,7312.719444444445,65.0,69.0,83.0,94.0,108.0,0.050748233182034176,0.004172461752433936,5.059999873921115,3.2948539638386647,613.0,14.34094616639478,2.153089608756122,8.0,20.0,12.0,14.0,1.0,210.29853181076672,12.0,13.0,14.0,15.0,17.0,0.0016543997176002138,-0.0032679738562091504,2.0848008415925596,1.5032679738562091,373.0,39.58981233243968,29.57057452003044,2.0,97.0,95.0,27.0,19.0,2441.7721179624664,8.0,12.0,27.0,69.0,80.80000000000001,0.19932215100627532,0.03763440860215054,9.431626206471554,5.795698924731183
8,73,195.0,57.0,59.0,,7.0,21.0,15.0,13.0,13.0,97.0,25.0,21960.0,0.0,0.0,4200.0,15180.0,2580.0,1800.0,3066.0,885.0,8999.0,,13.0,9.0,19.0,1.0,16.0,64.0,group4,4,dataset_user_4_train.csv,673.0,78.42050520059435,17.687732043043166,57.0,195.0,138.0,75.0,10.0,6462.631500742942,61.0,66.0,75.0,86.0,100.0,0.03201673965912218,-0.005952380952380952,6.232830725671546,3.955357142857143,520.0,14.338461538461539,2.4148701068869305,7.0,21.0,14.0,14.0,2.0,211.42307692307693,12.0,13.0,14.0,16.0,18.0,0.0022670771142474073,0.0019267822736030828,2.3666753805442418,1.6859344894026975,318.0,24.4874213836478,16.33180422365497,3.0,96.0,93.0,21.0,6.0,866.3616352201258,10.0,15.0,21.0,26.0,46.30000000000001,0.04219091302782955,-0.031545741324921134,10.610940806691591,6.416403785488959
8,67,136.0,58.0,59.0,67.0,7.0,22.0,14.0,14.0,14.0,99.0,42.0,28826.0,0.0,0.0,6120.0,16020.0,6720.0,240.0,2847.0,1028.0,5003.0,,14.0,10.0,19.0,0.0,15.0,,group4,40,dataset_user_40_train.csv,704.0,85.73863636363636,18.662976425254005,58.0,136.0,78.0,83.0,15.0,7699.420454545455,62.0,69.0,83.0,101.0,111.0,0.07231414963777787,0.02844950213371266,5.1682132482291365,3.3627311522048364,625.0,14.1184,2.108739301099119,,20.0,13.0,14.0,1.0,203.776,11.0,13.0,14.0,16.0,17.0,-0.002140624231998034,,2.155753124058253,1.5833333333333333,375.0,41.48,29.093394439288105,5.0,99.0,94.0,32.0,20.0,2567.016,10.0,16.0,32.0,67.5,87.60000000000002,0.21696393218796223,0.034759358288770054,9.201335076394125,5.804812834224599
9,77,120.0,51.0,55.0,61.0,8.0,23.0,15.0,13.0,12.0,94.0,28.0,20160.0,4260.0,0.0,4200.0,11820.0,4140.0,120.0,2580.0,399.0,6482.0,,13.0,11.0,19.0,0.0,9.0,60.0,group4,4,dataset_user_4_train.csv,720.0,74.25833333333334,12.489214791615648,51.0,120.0,69.0,74.0,9.0,5670.280555555555,58.0,64.0,74.0,82.25,91.0,0.02244992113539314,-0.005563282336578581,5.557134990283873,3.6968011126564675,617.0,14.39708265802269,2.323760277970245,8.0,21.0,13.0,14.0,2.0,212.67585089141005,12.0,13.0,14.0,16.0,17.0,0.002877533475006371,0.003246753246753247,2.3562549757064506,1.7012987012987013,390.0,27.71025641025641,20.323427114486464,1.0,90.0,89.0,23.0,12.0,1180.9,3.9000000000000057,13.0,23.0,40.0,58.0,0.07011192608862549,-0.010282776349614395,10.112981154821528,6.760925449871466
9,75,160.0,60.0,61.0,66.0,8.0,23.0,15.0,14.0,14.0,99.0,39.0,21803.0,0.0,0.0,3120.0,14460.0,4260.0,0.0,2972.0,1153.0,6428.0,,14.0,10.0,18.0,0.0,29.0,70.0,group4,40,dataset_user_40_train.csv,720.0,88.54722222222222,18.984876819181792,60.0,160.0,100.0,86.0,13.0,8201.03611111111,65.0,74.0,86.0,101.0,116.0,0.029382772729114038,-0.012517385257301807,5.074807195517158,3.3393602225312935,605.0,14.231404958677686,2.3529841456600336,8.0,22.0,14.0,14.0,1.0,208.0694214876033,11.0,13.0,14.0,16.0,17.0,0.003321500121113857,-0.0033112582781456954,2.2070002181062267,1.5496688741721854,364.0,38.612637362637365,24.03902401225767,3.0,98.0,95.0,34.0,18.0,2068.8104395604396,10.0,20.0,34.0,55.0,74.0,0.06639325804954697,-0.02203856749311295,11.146881080720007,7.6088154269972454
10,86,108.0,56.0,62.0,62.0,7.0,21.0,14.0,,17.0,,17.0,,,,,,,,2699.0,269.0,5362.0,,17.0,13.0,24.0,0.0,10.0,65.0,group4,22,dataset_user_22_train.csv,,72.84382871536523,9.677457951023884,56.0,108.0,52.0,71.0,5.0,5399.8765743073045,63.0,66.0,71.0,77.0,87.0,0.00833455116203872,,6.277781333039779,,,13.838509316770187,2.7035762400823917,8.0,20.0,12.0,14.0,2.0,198.8136645962733,10.0,12.0,14.0,16.0,17.0,0.0019118235630187406,0.0,,,,16.95049504950495,12.700180272848366,2.0,75.0,73.0,14.0,6.0,448.61386138613864,5.0,9.0,14.0,20.75,31.0,0.04907181402648758,-0.024875621890547265,13.012981582294929,
10,84,98.0,50.0,51.0,59.0,7.0,23.0,15.0,12.0,13.0,87.0,20.0,21162.0,0.0,0.0,3780.0,12000.0,5400.0,120.0,2268.0,87.0,2258.0,,12.0,10.0,17.0,0.0,7.0,57.0,group4,4,dataset_user_4_train.csv,720.0,67.51805555555555,9.942596720800314,50.0,98.0,48.0,67.0,7.0,4657.543055555556,54.0,60.0,67.0,74.0,80.10000000000002,0.02702826394341039,0.005563282336578581,4.902381945943126,3.41029207232267,660.0,14.175757575757576,2.319747936023445,8.0,21.0,13.0,14.0,2.0,206.33333333333334,11.0,12.0,14.0,16.0,17.0,0.0022981102928485726,-0.004552352048558422,2.0660513175997766,1.5584218512898331,410.0,20.153658536585365,15.437467844318846,1.0,83.0,82.0,19.0,9.0,644.4853658536585,2.0,8.0,19.0,25.0,40.0,0.07725491032505671,0.0024449877750611247,9.41582156444812,5.69437652811736
